generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc
sine,10.0,0.0,0.5,10,20,61,FedProto,,,,0.3472,1,0.002039,0.6736,12.3971
sine,10.0,0.0,0.5,10,20,61,FedAvg,,,,0.0644,1,,0.5432,9.4624
sine,2.0,0.75,0.5,10,20,42,FedProTrack,0.44,1.363077,0.56,0.0444,1,0.001191,0.5144,9.5318
sine,2.0,0.75,0.5,10,20,42,IFCA,0.325,0.57649,0.675,0.1014,6,0.001131,0.5682,10.3166
sine,2.0,0.75,0.5,10,20,42,FedProto,,,,0.1624,6,0.001616,0.4298,9.8248
sine,2.0,0.75,0.5,10,20,42,FedAvg,,,,0.1064,6,,0.4524,9.762
sine,2.0,0.75,0.5,10,20,43,FedProTrack,0.515,1.381805,0.485,0.086,5,0.001145,0.5048,9.1614
sine,2.0,0.75,0.5,10,20,43,IFCA,0.34,0.64016,0.66,0.1338,6,0.001098,0.4626,10.0153
sine,2.0,0.75,0.5,10,20,43,FedProto,,,,0.171,6,0.001619,0.5086,9.8465
sine,2.0,0.75,0.5,10,20,43,FedAvg,,,,0.0652,6,,0.4864,9.2242
sine,2.0,0.75,0.5,10,20,44,FedProTrack,0.52,1.396049,0.48,0.0708,6,0.001174,0.486,9.3946
sine,2.0,0.75,0.5,10,20,44,IFCA,0.295,0.643292,0.705,0.1096,6,0.001115,0.5482,10.1715
sine,2.0,0.75,0.5,10,20,44,FedProto,,,,0.1686,6,0.001577,0.5106,9.5854
sine,2.0,0.75,0.5,10,20,44,FedAvg,,,,0.0952,6,,0.4808,9.3292
sine,2.0,0.75,0.5,10,20,45,FedProTrack,0.42,1.328935,0.58,0.0936,6,0.001223,0.4908,9.786
sine,2.0,0.75,0.5,10,20,45,IFCA,0.31,0.622328,0.69,0.1014,6,0.001113,0.4794,10.1497
sine,2.0,0.75,0.5,10,20,45,FedProto,,,,0.1384,6,0.001652,0.492,10.0432
sine,2.0,0.75,0.5,10,20,45,FedAvg,,,,0.1196,6,,0.5104,9.8842
sine,2.0,0.75,0.5,10,20,46,FedProTrack,0.48,1.321092,0.52,0.1404,6,0.001149,0.4528,9.193
sine,2.0,0.75,0.5,10,20,46,IFCA,0.305,1.000763,0.695,0.1206,3,0.001126,0.57,10.2667
sine,2.0,0.75,0.5,10,20,46,FedProto,,,,0.1206,6,0.001625,0.5206,9.8825
sine,2.0,0.75,0.5,10,20,46,FedAvg,,,,0.1208,6,,0.4608,9.3942
sine,2.0,0.75,0.5,10,20,47,FedProTrack,0.545,1.262927,0.455,0.0504,3,0.001195,0.4928,9.5624
sine,2.0,0.75,0.5,10,20,47,IFCA,0.385,0.891259,0.615,0.1096,6,0.001092,0.4694,9.9565
sine,2.0,0.75,0.5,10,20,47,FedProto,,,,0.1002,5,0.001622,0.4162,9.8626
sine,2.0,0.75,0.5,10,20,47,FedAvg,,,,0.0652,1,,0.528,9.3088
sine,2.0,0.75,0.5,10,20,48,FedProTrack,0.5,1.281234,0.5,0.1192,6,0.001205,0.4188,9.642
sine,2.0,0.75,0.5,10,20,48,IFCA,0.36,0.685339,0.64,0.1718,4,0.001116,0.5008,10.1738
sine,2.0,0.75,0.5,10,20,48,FedProto,,,,0.15,6,0.001548,0.4168,9.4105
sine,2.0,0.75,0.5,10,20,48,FedAvg,,,,0.088,3,,0.5516,9.4612
sine,2.0,0.75,0.5,10,20,49,FedProTrack,0.51,1.33704,0.49,0.1124,3,0.001172,0.5632,9.3776
sine,2.0,0.75,0.5,10,20,49,IFCA,0.375,0.834609,0.625,0.0766,5,0.001105,0.5606,10.0766
sine,2.0,0.75,0.5,10,20,49,FedProto,,,,0.1398,6,0.001587,0.5642,9.6461
sine,2.0,0.75,0.5,10,20,49,FedAvg,,,,0.088,6,,0.426,9.3746
sine,2.0,0.75,0.5,10,20,50,FedProTrack,0.47,1.263401,0.53,0.0532,1,0.001174,0.5228,9.3894
sine,2.0,0.75,0.5,10,20,50,IFCA,0.32,0.794664,0.68,0.0936,6,0.001103,0.5114,10.0613
sine,2.0,0.75,0.5,10,20,50,FedProto,,,,0.1754,6,0.001567,0.5042,9.5269
sine,2.0,0.75,0.5,10,20,50,FedAvg,,,,0.0696,2,,0.5152,9.5424
sine,2.0,0.75,0.5,10,20,51,FedProTrack,0.49,1.171001,0.51,0.0936,6,0.001197,0.4888,9.5778
sine,2.0,0.75,0.5,10,20,51,IFCA,0.285,0.774497,0.715,0.1046,6,0.001134,0.5436,10.3453
sine,2.0,0.75,0.5,10,20,51,FedProto,,,,0.1838,6,0.001623,0.4392,9.8686
sine,2.0,0.75,0.5,10,20,51,FedAvg,,,,0.092,6,,0.464,9.787
sine,2.0,0.75,0.5,10,20,52,FedProTrack,0.535,1.328144,0.465,0.1068,4,0.001184,0.528,9.47
sine,2.0,0.75,0.5,10,20,52,IFCA,0.33,0.813166,0.67,0.0884,6,0.001092,0.4738,9.9624
sine,2.0,0.75,0.5,10,20,52,FedProto,,,,0.1522,4,0.001576,0.4776,9.58
sine,2.0,0.75,0.5,10,20,52,FedAvg,,,,0.0896,6,,0.462,9.5606
sine,2.0,0.75,0.5,10,20,53,FedProTrack,0.475,1.254545,0.525,0.1572,3,0.001242,0.5952,9.9324
sine,2.0,0.75,0.5,10,20,53,IFCA,0.37,0.95696,0.63,0.109,6,0.001102,0.4598,10.0518
sine,2.0,0.75,0.5,10,20,53,FedProto,,,,0.1092,6,0.001551,0.5944,9.4302
sine,2.0,0.75,0.5,10,20,53,FedAvg,,,,0.0788,6,,0.4516,9.3942
sine,2.0,0.75,0.5,10,20,54,FedProTrack,0.51,1.293829,0.49,0.1096,6,0.001147,0.4528,9.1758
sine,2.0,0.75,0.5,10,20,54,IFCA,0.305,0.641279,0.695,0.0854,6,0.001129,0.525,10.2921
sine,2.0,0.75,0.5,10,20,54,FedProto,,,,0.1498,3,0.001613,0.6186,9.8093
sine,2.0,0.75,0.5,10,20,54,FedAvg,,,,0.0756,6,,0.474,9.2652
sine,2.0,0.75,0.5,10,20,55,FedProTrack,0.54,1.146456,0.46,0.0588,6,0.001202,0.4768,9.6198
sine,2.0,0.75,0.5,10,20,55,IFCA,0.39,0.751522,0.61,0.1294,4,0.001139,0.5624,10.3871
sine,2.0,0.75,0.5,10,20,55,FedProto,,,,0.1604,6,0.001596,0.4632,9.7007
sine,2.0,0.75,0.5,10,20,55,FedAvg,,,,0.1192,6,,0.4532,9.4704
sine,2.0,0.75,0.5,10,20,56,FedProTrack,0.49,1.25371,0.51,0.1228,6,0.001211,0.5024,9.6908
sine,2.0,0.75,0.5,10,20,56,IFCA,0.275,0.579912,0.725,0.135,6,0.001132,0.5604,10.3256
sine,2.0,0.75,0.5,10,20,56,FedProto,,,,0.1896,6,0.001559,0.5186,9.4806
sine,2.0,0.75,0.5,10,20,56,FedAvg,,,,0.0676,6,,0.4888,9.722
sine,2.0,0.75,0.5,10,20,57,FedProTrack,0.465,1.286692,0.535,0.0696,6,0.001165,0.4864,9.3164
sine,2.0,0.75,0.5,10,20,57,IFCA,0.305,0.884248,0.695,0.1274,3,0.001123,0.5954,10.2401
sine,2.0,0.75,0.5,10,20,57,FedProto,,,,0.0804,6,0.001595,0.6094,9.6973
sine,2.0,0.75,0.5,10,20,57,FedAvg,,,,0.0592,1,,0.5868,9.8018
sine,2.0,0.75,0.5,10,20,58,FedProTrack,0.495,1.330859,0.505,0.0472,0,0.001193,0.532,9.5464
sine,2.0,0.75,0.5,10,20,58,IFCA,0.32,0.669261,0.68,0.1426,6,0.001089,0.5502,9.9285
sine,2.0,0.75,0.5,10,20,58,FedProto,,,,0.1334,6,0.001555,0.5972,9.4526
sine,2.0,0.75,0.5,10,20,58,FedAvg,,,,0.1028,4,,0.5844,9.6054
sine,2.0,0.75,0.5,10,20,59,FedProTrack,0.48,1.300903,0.52,0.0572,2,0.001166,0.4976,9.325
sine,2.0,0.75,0.5,10,20,59,IFCA,0.27,0.651084,0.73,0.1906,6,0.001123,0.4954,10.2393
sine,2.0,0.75,0.5,10,20,59,FedProto,,,,0.133,6,0.001626,0.5308,9.8855
sine,2.0,0.75,0.5,10,20,59,FedAvg,,,,0.0988,6,,0.5308,9.7936
sine,2.0,0.75,0.5,10,20,60,FedProTrack,0.48,1.336799,0.52,0.0604,2,0.001206,0.5012,9.6478
sine,2.0,0.75,0.5,10,20,60,IFCA,0.29,0.56967,0.71,0.1688,3,0.001097,0.4358,10.0002
sine,2.0,0.75,0.5,10,20,60,FedProto,,,,0.2626,6,0.001554,0.4732,9.4511
sine,2.0,0.75,0.5,10,20,60,FedAvg,,,,0.1568,6,,0.6188,9.5882
sine,2.0,0.75,0.5,10,20,61,FedProTrack,0.495,1.397319,0.505,0.108,6,0.001135,0.4376,9.083
sine,2.0,0.75,0.5,10,20,61,IFCA,0.28,0.616781,0.72,0.1186,5,0.001111,0.5186,10.1323
sine,2.0,0.75,0.5,10,20,61,FedProto,,,,0.1792,6,0.001669,0.602,10.1451
sine,2.0,0.75,0.5,10,20,61,FedAvg,,,,0.0968,4,,0.5624,9.8066
sea,5.0,0.5,0.5,10,20,42,FedProTrack,0.565,1.173548,0.435,0.092,6,0.001355,0.7596,14.094
sea,5.0,0.5,0.5,10,20,42,IFCA,0.38,0.0,0.62,0.0986,6,0.001062,0.6758,12.9179
sea,5.0,0.5,0.5,10,20,42,FedProto,,,,0.0698,0,0.001836,0.9284,16.7399
